year,month,apple,google,microsoft
2007,Sep,75,120,450
2007,Oct,147,95,260
2007,Nov,36,65,100
2007,Dec,36,90,300
2008,Jan,84,155,300
2008,Feb,135,155,180
2008,Mar,63,205,130
2008,Apr,90,110,390
2008,May,150,190,210
2008,Jun,45,60,330
2008,Jul,150,105,490
2008,Aug,63,160,150
2008,Sep,123,50,180
2008,Oct,114,215,290
2008,Nov,54,80,260
2008,Dec,117,240,300
2009,Jan,123,235,490
2009,Feb,126,110,310
2009,Mar,117,80,480
2009,Apr,102,205,220
2009,May,84,200,120
2009,Jun,117,90,310
2009,Jul,114,150,460
2009,Aug,39,50,450
2009,Sep,111,200,390
2009,Oct,114,230,260
2009,Nov,75,190,370
2009,Dec,108,95,490
2010,Jan,75,75,140
2010,Feb,45,95,170
2010,Mar,45,115,140
2010,Apr,147,135,240
2010,May,60,235,230
2010,Jun,54,55,330
2010,Jul,150,200,410
2010,Aug,81,190,490
2010,Sep,90,80,160
2010,Oct,84,245,490
2010,Nov,48,65,410
2010,Dec,93,185,140
2011,Jan,75,110,250
2011,Feb,48,130,250
2011,Mar,57,100,180
2011,Apr,84,205,140
2011,May,51,80,290
2011,Jun,57,225,360
2011,Jul,135,145,150
2011,Aug,57,50,340
2011,Sep,60,190,360
2011,Oct,72,185,260
2011,Nov,108,245,450
2011,Dec,57,145,350
2012,Jan,117,235,320
2012,Feb,42,175,390
2012,Mar,66,100,200
2012,Apr,84,125,370
2012,May,54,185,310
2012,Jun,48,190,290
2012,Jul,117,135,340
2012,Aug,117,50,210
2012,Sep,57,60,260
2012,Oct,129,170,160
2012,Nov,93,50,290
2012,Dec,33,125,210
2013,Jan,75,90,470
2013,Feb,147,55,270
2013,Mar,111,145,350
2013,Apr,54,220,100
2013,May,33,130,100
2013,Jun,36,170,180
2013,Jul,99,105,310
2013,Aug,84,75,400
2013,Sep,57,190,440
2013,Oct,66,70,130
