year,month,Company_0,Company_1,Company_2,Company_3,Company_4,Company_5,Company_6,Company_7,Company_8,Company_9
1994,Apr,38,24,129,184,225,162,350,328,198,150,invalid Data
1994,May,43,60,54,92,90,114,287,376,180,250,invalid Data
1994,Jun,11,50,39,44,180,108,273,248,333,440,invalid Data
1994,Jul,27,86,132,160,140,258,126,120,99,420,invalid Data
1994,Aug,43,82,138,68,90,192,350,272,360,220,invalid Data
1994,Sep,23,40,138,200,155,264,322,296,405,180,invalid Data
1994,Oct,29,90,144,172,95,84,154,344,180,140,invalid Data
1994,Nov,37,20,75,48,70,132,245,320,198,170,invalid Data
1994,Dec,42,90,117,148,250,114,245,392,153,450,invalid Data
1995,Jan,35,100,117,156,75,168,301,232,333,410,invalid Data
1995,Feb,27,82,102,144,80,162,154,224,369,270,invalid Data
1995,Mar,48,48,87,180,100,108,336,232,189,490,invalid Data
1995,Apr,21,24,39,84,120,90,294,232,243,470,invalid Data
1995,May,45,72,138,160,175,114,315,96,162,240,invalid Data
1995,Jun,12,58,90,160,165,162,105,208,423,500,invalid Data
1995,Jul,19,48,45,80,225,258,252,328,108,270,invalid Data
1995,Aug,16,74,144,156,150,222,294,392,405,110,invalid Data
1995,Sep,35,42,114,196,110,264,245,112,252,230,invalid Data
1995,Oct,34,54,147,160,120,192,154,128,351,280,invalid Data
1995,Nov,50,84,39,144,180,240,224,392,243,150,invalid Data
1995,Dec,21,74,117,80,210,294,350,144,369,280,invalid Data
1996,Jan,23,44,141,152,160,168,203,160,198,360,invalid Data
1996,Feb,19,52,117,152,185,132,245,104,117,230,invalid Data
1996,Mar,14,90,129,92,235,222,280,248,333,220,invalid Data
1996,Apr,16,22,96,184,185,264,91,376,261,120,invalid Data
1996,May,39,48,147,120,160,204,70,176,369,450,invalid Data
1996,Jun,11,60,144,96,190,276,119,104,99,470,invalid Data
1996,Jul,50,58,30,96,145,144,308,168,297,280,invalid Data
1996,Aug,15,92,111,124,195,102,238,264,288,380,invalid Data
1996,Sep,48,50,69,152,200,90,280,336,216,430,invalid Data
1996,Oct,12,52,132,96,125,162,175,280,405,430,invalid Data
1996,Nov,20,20,123,44,80,132,252,280,306,470,invalid Data
1996,Dec,38,92,96,92,200,198,259,168,135,200,invalid Data
1997,Jan,27,34,93,76,215,252,238,184,99,270,invalid Data
1997,Feb,23,64,81,52,225,192,322,184,108,360,invalid Data
1997,Mar,36,36,144,132,150,120,210,336,198,390,invalid Data
1997,Apr,41,76,126,80,240,150,343,176,270,310,invalid Data
1997,May,38,90,102,76,85,240,273,192,387,470,invalid Data
1997,Jun,36,64,81,76,70,258,301,112,216,180,invalid Data
1997,Jul,16,60,135,92,75,156,161,352,315,500,invalid Data
1997,Aug,22,72,105,104,245,96,189,184,117,100,invalid Data
1997,Sep,29,22,108,200,115,288,98,144,117,280,invalid Data
1997,Oct,16,80,144,60,225,216,119,312,216,470,invalid Data
1997,Nov,10,70,87,68,225,66,259,216,315,430,invalid Data
1997,Dec,45,68,75,84,200,288,175,160,126,360,invalid Data
1998,Jan,12,100,99,124,50,276,217,352,99,160,invalid Data
1998,Feb,38,80,90,80,160,168,112,144,369,360,invalid Data
1998,Mar,46,58,30,116,210,246,84,192,342,170,invalid Data
1998,Apr,26,70,36,44,55,186,119,376,153,130,invalid Data
1998,May,36,64,42,196,95,96,182,296,207,320,invalid Data
1998,Jun,38,86,63,108,200,222,91,272,261,160,invalid Data
1998,Jul,27,94,150,92,70,270,161,360,126,500,invalid Data
1998,Aug,12,64,66,44,50,144,224,240,135,230,invalid Data
1998,Sep,17,20,144,64,65,114,210,360,225,380,invalid Data
1998,Oct,42,34,123,64,110,162,224,248,162,370,invalid Data
1998,Nov,12,48,84,176,200,126,168,328,225,150,invalid Data
1998,Dec,16,94,66,80,70,114,217,336,126,410,invalid Data
1999,Jan,29,56,78,160,225,222,259,312,369,390,invalid Data
1999,Feb,29,94,42,144,70,180,336,176,423,230,invalid Data
1999,Mar,40,30,60,48,185,114,98,80,162,210,invalid Data
1999,Apr,28,22,96,148,70,174,266,136,252,400,invalid Data
1999,May,32,92,135,128,95,288,182,280,306,300,invalid Data
1999,Jun,19,28,144,64,140,72,189,320,99,440,invalid Data
1999,Jul,14,44,57,196,245,186,133,104,378,140,invalid Data
1999,Aug,45,20,33,72,55,210,203,232,378,150,invalid Data
1999,Sep,11,84,90,120,180,174,301,272,450,110,invalid Data
1999,Oct,20,64,120,60,110,198,259,96,135,350,invalid Data
1999,Nov,26,24,117,152,120,72,105,160,99,320,invalid Data
1999,Dec,37,92,108,160,150,204,329,120,315,470,invalid Data
2000,Jan,11,88,150,180,225,300,329,392,198,150,invalid Data
2000,Feb,11,58,114,100,145,180,98,264,162,380,invalid Data
2000,Mar,44,30,114,136,240,210,133,256,378,100,invalid Data
2000,Apr,19,98,42,172,115,78,182,280,279,240,invalid Data
2000,May,10,76,87,60,60,234,266,264,243,200,invalid Data
2000,Jun,21,80,42,76,200,258,259,104,351,120,invalid Data
2000,Jul,41,58,63,156,235,192,315,88,207,370,invalid Data
2000,Aug,39,70,108,156,235,228,154,216,180,170,invalid Data
2000,Sep,12,72,63,108,210,276,112,200,126,290,invalid Data
2000,Oct,17,20,99,56,225,204,350,240,216,380,invalid Data
2000,Nov,26,56,90,96,100,150,210,264,288,400,invalid Data
2000,Dec,48,82,84,196,55,228,252,264,360,490,invalid Data
2001,Jan,16,38,87,104,235,282,98,80,162,200,invalid Data
2001,Feb,48,86,33,148,170,132,84,80,333,490,invalid Data
2001,Mar,48,40,105,64,110,204,126,312,261,250,invalid Data
2001,Apr,42,26,45,96,125,240,266,240,243,420,invalid Data
2001,May,32,34,147,100,140,138,133,328,378,130,invalid Data
2001,Jun,10,66,60,116,60,114,77,328,189,360,invalid Data
2001,Jul,37,52,108,144,170,300,266,248,396,120,invalid Data
2001,Aug,15,22,54,128,120,174,189,288,441,100,invalid Data
2001,Sep,17,60,60,104,220,138,238,248,288,250,invalid Data
2001,Oct,32,54,150,52,60,138,210,336,90,240,invalid Data
2001,Nov,49,68,102,132,185,276,91,320,414,290,invalid Data
2001,Dec,30,98,102,200,125,144,70,392,234,170,invalid Data
2002,Jan,45,60,114,172,175,126,98,88,117,310,invalid Data
2002,Feb,33,30,141,76,250,72,210,120,234,310,invalid Data
2002,Mar,49,72,69,88,110,174,231,112,369,330,invalid Data
2002,Apr,20,22,135,184,160,138,315,224,450,150,invalid Data
2002,May,30,30,150,160,100,228,119,128,450,400,invalid Data
2002,Jun,29,66,48,152,110,102,252,144,153,400,invalid Data
2002,Jul,23,24,69,128,180,174,217,144,405,100,invalid Data
2002,Aug,25,32,87,112,60,276,287,352,171,410,invalid Data
2002,Sep,47,40,42,140,55,258,238,120,315,360,invalid Data
2002,Oct,32,34,36,100,170,204,196,400,369,250,invalid Data
2002,Nov,33,100,111,112,195,246,126,376,333,180,invalid Data
2002,Dec,46,72,114,168,115,60,210,80,90,190,invalid Data
2003,Jan,25,88,90,144,165,216,280,120,261,210,invalid Data
2003,Feb,21,62,96,80,100,192,336,384,108,440,invalid Data
2003,Mar,23,66,57,44,190,66,203,192,387,500,invalid Data
2003,Apr,40,84,147,192,150,78,119,80,423,340,invalid Data
2003,May,49,52,48,80,155,150,182,256,90,110,invalid Data
2003,Jun,37,80,87,116,195,132,189,328,117,370,invalid Data
2003,Jul,33,22,138,84,50,114,175,200,108,450,invalid Data
2003,Aug,45,70,84,108,140,102,98,80,225,130,invalid Data
2003,Sep,37,62,60,84,220,204,203,336,432,230,invalid Data
2003,Oct,11,34,39,128,225,282,301,104,369,450,invalid Data
2003,Nov,41,32,150,56,140,276,77,304,225,300,invalid Data
2003,Dec,10,98,42,152,60,174,252,184,405,290,invalid Data
2004,Jan,33,86,42,124,185,252,273,400,216,500,invalid Data
2004,Feb,43,24,42,40,80,276,287,152,144,100,invalid Data
2004,Mar,46,100,150,184,215,132,343,80,450,170,invalid Data
2004,Apr,27,40,129,40,115,228,252,400,117,150,invalid Data
2004,May,22,100,132,140,210,162,350,112,252,350,invalid Data
2004,Jun,19,78,144,180,135,96,280,352,90,470,invalid Data
2004,Jul,21,60,57,116,245,114,77,120,198,100,invalid Data
2004,Aug,43,100,69,100,85,198,315,136,126,480,invalid Data
2004,Sep,48,50,60,72,120,204,91,320,297,140,invalid Data
2004,Oct,12,26,60,156,195,294,119,96,171,420,invalid Data
2004,Nov,18,78,87,80,155,240,126,248,126,470,invalid Data
2004,Dec,40,74,51,164,130,144,350,336,243,350,invalid Data
2005,Jan,43,28,63,184,55,132,350,128,351,160,invalid Data
2005,Feb,24,56,72,164,175,108,238,296,270,250,invalid Data
2005,Mar,23,20,117,80,215,102,252,240,261,460,invalid Data
2005,Apr,27,78,84,132,245,216,98,160,135,480,invalid Data
2005,May,27,58,60,184,210,84,280,296,99,490,invalid Data
2005,Jun,42,96,90,168,105,66,224,96,441,210,invalid Data
2005,Jul,48,62,33,156,230,270,252,352,405,450,invalid Data
2005,Aug,41,30,45,200,65,138,105,120,396,470,invalid Data
2005,Sep,39,94,144,100,65,198,168,304,162,480,invalid Data
2005,Oct,16,32,144,80,245,120,175,296,135,310,invalid Data
2005,Nov,16,70,150,60,185,174,287,120,387,380,invalid Data
2005,Dec,16,68,78,100,95,192,133,280,297,140,invalid Data
2006,Jan,11,38,129,120,230,240,147,368,171,380,invalid Data
2006,Feb,15,70,114,108,195,78,308,200,189,160,invalid Data
2006,Mar,29,30,42,112,100,102,70,360,306,270,invalid Data
2006,Apr,46,68,132,136,75,252,273,176,423,390,invalid Data
2006,May,17,56,90,148,180,216,175,392,243,180,invalid Data
2006,Jun,44,76,120,164,155,222,273,352,315,150,invalid Data
2006,Jul,33,24,96,140,240,300,196,312,414,380,invalid Data
2006,Aug,39,38,60,144,145,144,77,312,315,460,invalid Data
2006,Sep,24,24,66,48,145,192,196,368,279,500,invalid Data
2006,Oct,23,96,39,40,135,108,98,136,180,100,invalid Data
2006,Nov,40,52,51,192,65,276,238,96,333,250,invalid Data
2006,Dec,25,80,135,164,85,72,168,176,297,320,invalid Data
2007,Jan,36,66,51,56,120,228,126,344,333,430,invalid Data
2007,Feb,34,78,108,60,200,300,343,168,387,300,invalid Data
2007,Mar,15,82,138,40,80,252,280,368,117,430,invalid Data
2007,Apr,38,34,84,164,190,72,126,96,144,270,invalid Data
2007,May,17,78,135,76,240,222,231,88,405,120,invalid Data
2007,Jun,28,32,75,180,240,66,119,336,234,370,invalid Data
2007,Jul,49,22,102,56,100,252,147,136,432,350,invalid Data
2007,Aug,47,40,48,164,110,204,203,240,306,260,invalid Data
2007,Sep,20,96,30,164,120,294,161,280,342,320,invalid Data
2007,Oct,32,64,90,48,130,270,252,368,234,240,invalid Data
2007,Nov,26,46,120,136,125,246,154,288,441,470,invalid Data
2007,Dec,30,76,54,88,210,156,203,88,153,260,invalid Data
2008,Jan,32,100,42,124,220,72,322,264,387,210,invalid Data
2008,Feb,50,30,126,76,75,78,182,256,315,320,invalid Data
2008,Mar,15,42,51,96,60,66,252,184,144,120,invalid Data
2008,Apr,26,60,42,128,130,162,280,136,387,190,invalid Data
2008,May,16,80,60,136,130,264,329,336,306,120,invalid Data
2008,Jun,40,52,48,184,55,84,259,232,297,280,invalid Data
2008,Jul,36,64,138,108,50,114,154,232,225,310,invalid Data
2008,Aug,10,98,48,64,210,270,77,200,297,120,invalid Data
2008,Sep,40,42,93,96,225,60,273,240,216,280,invalid Data
2008,Oct,38,88,147,136,235,60,350,400,198,160,invalid Data
2008,Nov,49,64,144,80,210,234,203,400,153,450,invalid Data
2008,Dec,49,64,75,52,130,72,336,112,234,330,invalid Data
2009,Jan,18,32,36,40,140,240,217,200,207,450,invalid Data
2009,Feb,19,36,117,124,150,228,154,240,279,180,invalid Data
2009,Mar,31,54,138,164,50,132,105,152,135,500,invalid Data
2009,Apr,21,42,111,184,235,132,168,104,360,340,invalid Data
2009,May,41,50,45,92,130,174,126,240,162,170,invalid Data
2009,Jun,50,78,90,84,100,156,210,232,207,380,invalid Data
2009,Jul,23,84,96,124,225,234,238,248,207,320,invalid Data
2009,Aug,17,92,69,52,195,288,91,264,207,470,invalid Data
2009,Sep,48,42,72,76,150,120,238,376,441,140,invalid Data
2009,Oct,21,100,93,144,175,66,203,184,297,470,invalid Data
2009,Nov,31,66,69,128,250,114,217,96,153,270,invalid Data
2009,Dec,34,58,42,116,125,270,287,400,108,110,invalid Data
2010,Jan,40,86,69,108,175,276,280,128,333,390,invalid Data
2010,Feb,15,30,147,132,65,234,245,136,333,490,invalid Data
2010,Mar,20,44,45,56,125,144,217,352,351,260,invalid Data
2010,Apr,37,40,111,188,55,120,224,360,369,240,invalid Data
2010,May,21,84,45,132,90,300,98,160,207,330,invalid Data
2010,Jun,18,98,78,184,75,114,203,168,441,460,invalid Data
2010,Jul,23,44,60,140,130,300,175,96,207,490,invalid Data
2010,Aug,20,30,99,108,135,114,266,184,369,340,invalid Data
2010,Sep,16,78,69,200,235,180,287,360,306,450,invalid Data
2010,Oct,22,24,45,200,240,240,133,400,306,210,invalid Data
2010,Nov,16,68,120,64,235,66,189,176,306,480,invalid Data
2010,Dec,43,26,90,96,130,84,273,288,261,490,invalid Data
2011,Jan,19,20,66,160,220,72,140,264,198,270,invalid Data
2011,Feb,29,84,57,60,115,126,189,392,261,350,invalid Data
2011,Mar,32,64,120,64,205,144,231,312,108,470,invalid Data
2011,Apr,40,78,48,104,180,138,91,128,387,180,invalid Data
2011,May,38,96,129,156,110,300,133,272,162,430,invalid Data
2011,Jun,48,98,132,192,150,138,231,152,378,360,invalid Data
2011,Jul,34,82,54,68,105,192,238,80,423,280,invalid Data
2011,Aug,36,84,135,92,210,162,119,304,234,350,invalid Data
2011,Sep,11,72,81,52,175,114,266,152,126,300,invalid Data
2011,Oct,10,28,60,156,95,300,168,152,414,110,invalid Data
2011,Nov,31,60,144,180,50,276,308,104,441,390,invalid Data
2011,Dec,26,52,135,144,70,84,133,304,414,320,invalid Data
2012,Jan,19,50,81,108,210,60,329,216,261,460,invalid Data
2012,Feb,13,72,81,124,100,216,77,304,315,410,invalid Data
2012,Mar,14,92,54,148,150,138,168,176,315,190,invalid Data
2012,Apr,18,72,132,48,230,78,91,352,360,180,invalid Data
2012,May,34,34,93,188,225,78,224,216,369,250,invalid Data
2012,Jun,41,96,90,92,50,78,154,264,90,250,invalid Data
2012,Jul,48,30,51,148,135,102,231,328,207,100,invalid Data
2012,Aug,18,56,54,56,185,270,238,104,414,210,invalid Data
2012,Sep,11,32,54,168,170,90,175,144,396,120,invalid Data
2012,Oct,15,82,129,164,190,210,133,384,171,350,invalid Data
2012,Nov,16,34,30,132,140,60,161,184,369,250,invalid Data
2012,Dec,36,96,75,160,185,240,147,296,324,150,invalid Data
2013,Jan,13,94,108,96,215,144,189,352,315,300,invalid Data
2013,Feb,25,28,117,152,55,132,217,392,99,140,invalid Data
2013,Mar,48,58,114,164,185,180,168,128,270,380,invalid Data
2013,Apr,12,94,39,184,200,156,203,216,252,420,invalid Data
2013,May,26,68,42,120,205,96,91,120,198,450,invalid Data
2013,Jun,47,34,141,124,165,66,350,224,171,140,invalid Data
2013,Jul,32,38,42,132,200,114,294,208,90,170,invalid Data
2013,Aug,31,20,108,188,235,120,336,272,153,450,invalid Data
2013,Sep,36,74,120,172,60,156,175,104,261,240,invalid Data
2013,Oct,43,22,84,40,160,204,217,272,144,470,invalid Data
